0,0.04145,-0.006734,-9.702353,-0.104207
0.1,0.045639,-0.046687,-9.698462,-0.107968
0.2,0.062249,-0.012719,-9.68694,-0.119502
0.3,0.058508,-0.007632,-9.69921,-0.10726
0.4,0.062549,-0.03307,-9.704448,-0.101945
0.5,0.048183,-0.014066,-9.686491,-0.120029
0.6,0.061202,-0.025289,-9.69098,-0.115444
0.7,-2.420388,0.035464,-9.686042,0.177284
0.8,-0.275632,0.070928,-9.701604,-0.100872
0.9,0.010026,-3.263297,-9.67452,0.403421
1,0.301819,-2.924068,-9.673173,0.303322
1.1,0.395791,2.482637,-9.726893,0.239871
1.2,-0.008529,-0.034267,-9.649082,-0.157504
1.3,0.1652,-0.158616,-9.680506,-0.123436
1.4,0.252439,0.749684,-9.793482,0.018727
1.5,-2.015319,-1.966986,-13.891158,4.367087
1.6,-0.647931,-5.542128,-10.992378,2.520855
1.7,-0.989853,-0.506823,-6.136937,-3.56977
1.8,-0.289998,3.329137,-2.901174,-5.381261
1.9,0.094571,2.2504,-9.159318,-0.374453
2,0.423175,-3.164087,-11.501296,2.129444
2.1,0.137367,0.30152,-9.721805,-0.0792
2.2,-0.844854,0.047285,-9.700258,-0.069555
2.3,0.038756,-0.036063,-9.702652,-0.103854
2.4,0.044742,-0.00823,-9.682152,-0.124392
2.5,0.075118,-0.029628,-9.675867,-0.130447
2.6,0.022745,0.036811,-9.718065,-0.088489
2.7,0.080206,-0.091129,-9.699061,-0.10683
2.8,0.036512,0.044891,-9.69921,-0.107267
2.9,0.069731,-0.060753,-9.694422,-0.111787
3,0.0621,-0.014216,-9.679757,-0.126683
3.1,0.054019,-0.018555,-9.746196,-0.060286
3.2,0.05776,-0.00823,-9.695619,-0.110856
3.3,0.070779,-0.046088,-9.680206,-0.126075
3.4,0.043993,-0.015562,-9.7034,-0.103138
